n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,val_rmse,val_acc
300,4,0.05,0.7,1.0,1,1.0,0.6469010600286231,0.5554318592817752
300,4,0.05,0.7,0.7,3,0.1,0.6469349567158468,0.5798218870170221
300,4,0.1,1.0,1.0,1,0.1,0.6469512111086614,0.6019150342588129
300,4,0.05,0.85,1.0,1,0.0,0.6471666513941643,0.5605153117884655
300,5,0.05,1.0,0.7,1,0.0,0.647529116886704,0.5536441765165552
300,6,0.05,0.7,0.7,3,0.0,0.6475619961721132,0.5571149592865937
300,5,0.1,0.85,0.85,3,0.0,0.6480235345321333,0.5552135232489422
300,5,0.05,0.7,0.85,5,0.1,0.6480745768038575,0.5508585187279668
300,6,0.1,1.0,0.7,1,1.0,0.6483991404592085,0.5348199283270875
500,6,0.1,1.0,0.7,1,1.0,0.6483991404592085,0.5348199283270875
300,6,0.05,0.85,0.85,1,0.0,0.6487498877848488,0.5524076350907192
300,6,0.1,1.0,1.0,3,1.0,0.64897449980074,0.5956207316681545
500,6,0.1,1.0,1.0,3,1.0,0.64897449980074,0.5956207316681545
500,5,0.05,0.7,0.85,5,1.0,0.6490153127574928,0.5847153931794643
500,5,0.05,0.7,0.85,5,0.1,0.6491338260365974,0.5518008739427669
500,4,0.05,0.7,0.85,1,0.0,0.6491356840127757,0.5647230145678399
500,4,0.05,0.7,1.0,5,1.0,0.6491528040939498,0.5786640795880195
300,4,0.05,0.85,0.7,1,0.0,0.6491759308685146,0.5850348725441727
300,4,0.1,0.85,0.7,3,0.1,0.6491922062646391,0.5281137713236967
500,5,0.1,0.85,0.85,3,0.0,0.6492063507678613,0.5536271064319438
500,6,0.05,0.85,0.85,1,0.0,0.6492971635388939,0.5522347919374914
500,5,0.1,0.7,1.0,1,1.0,0.6492987227855987,0.5630430192780687
500,4,0.05,0.85,0.85,1,0.0,0.6493381729908093,0.5572347949286895
300,5,0.1,0.85,0.85,5,0.0,0.6494689167768103,0.5427667302369704
300,5,0.05,0.85,1.0,3,0.0,0.6494725476895483,0.5587400350512369
500,5,0.1,0.85,0.85,5,0.0,0.6495120411993756,0.5425933008309732
300,5,0.1,0.7,1.0,1,1.0,0.649557266501537,0.5604113016303924
300,4,0.05,0.7,1.0,5,0.0,0.649573182534288,0.5390434208541888
500,4,0.05,0.7,0.7,3,0.1,0.6498455385581694,0.5861126095386802
500,4,0.1,0.85,0.7,3,0.1,0.6499524468398331,0.5308182846874865
500,4,0.1,0.85,0.7,3,1.0,0.6499831752971557,0.5790780604168191
500,6,0.05,0.7,0.85,1,1.0,0.6500147930481639,0.5548881360630785
500,4,0.05,0.85,0.85,3,0.0,0.6500356644489368,0.5459921865990421
300,4,0.05,0.7,0.85,1,0.0,0.6500442675375746,0.5646926334476383
300,4,0.05,1.0,0.85,1,0.0,0.6502008705668286,0.545406089362541
300,4,0.05,0.7,0.85,5,0.0,0.6502126480182586,0.5161503314330688
500,4,0.05,0.85,0.7,1,0.0,0.6503774052025567,0.587899783922719
300,5,0.05,0.85,1.0,5,0.1,0.6504496621020306,0.547275692567499
300,6,0.05,0.7,0.85,1,1.0,0.6504721336475454,0.5518019578681084
500,4,0.05,0.7,0.7,5,0.1,0.6505189129547986,0.5814943514345482
300,4,0.05,0.7,0.7,5,0.0,0.6505637337705369,0.5859565120795615
500,4,0.05,0.7,1.0,1,1.0,0.6505777123320267,0.5662079409488577
300,4,0.1,1.0,0.85,1,0.1,0.6505922974051662,0.5481894643505908
